customer_id,customer_name,segment,sales,profit,quantity,orders,customers,profit_margin
TC-209804,Tamara Chand,Corporate,18919.0,8987.227900000002,32.0,3,1,0.4750371531264867
RB-193604,Raymond Buch,Consumer,14816.0,6920.5275,49.0,4,1,0.46709823839092873
SC-200954,Sanjit Chand,Consumer,12560.0,5736.3360999999995,60.0,7,1,0.45671465764331204
AB-101054,Adrian Barton,Consumer,11963.0,5675.238,27.0,4,1,0.47439923096213327
HL-150404,Hunter Lopez,Consumer,12859.0,5617.3436,48.0,5,1,0.4368414029084688
SP-209202,Susan Pistek,Consumer,16456.0,4986.738,102.0,12,1,0.303034637822071
CA-127751,Cynthia Arntzen,Consumer,10753.0,4004.7599999999998,40.0,4,1,0.37243187947549516
PJ-188352,Patrick Jones,Corporate,8509.0,3986.004,26.0,3,1,0.46844564578681397
CS-118451,Cari Sayre,Corporate,14943.0,3981.63,57.0,6,1,0.2664545272033728
PO-188652,Patrick O'Donnell,Consumer,13013.0,3774.384,62.0,9,1,0.29004718358564513
EB-138402,Ellis Ballard,Corporate,9650.0,3434.562,56.0,9,1,0.35591316062176165
BW-10651,Barry Weirich,Consumer,8957.0,3333.06,47.0,4,1,0.37211789661717093
DR-129404,Daniel Raglin,Home Office,7416.0,3269.9889999999996,38.0,3,1,0.4409370280474649
SE-201104,Sanjit Engle,Consumer,10141.0,3229.437,48.0,6,1,0.31845350557144264
CM-123854,Christopher Martinez,Consumer,6691.0,3200.5588,18.0,3,1,0.4783378867134957
MG-181452,Mike Gockenbach,Consumer,8930.0,3163.56,30.0,4,1,0.35426203807390816
CA-119651,Carol Adams,Corporate,9055.0,3125.1,38.0,3,1,0.3451242407509663
CD-119201,Carlos Daly,Consumer,7581.0,3107.5914,52.0,5,1,0.4099184012663237
JH-158202,John Huston,Consumer,11300.0,3038.2545,83.0,8,1,0.2688720796460177
KN-163902,Katherine Nockton,Corporate,6702.0,2916.15,44.0,5,1,0.43511638316920326
LB-167952,Laurel Beltran,Home Office,8375.0,2909.1870000000004,43.0,6,1,0.3473656119402985
ER-138552,Elpida Rittenbach,Corporate,7927.0,2899.806,35.0,4,1,0.36581380093351834
ON-187152,Odella Nelson,Corporate,7872.0,2811.3269999999998,76.0,10,1,0.35712995426829264
MS-177702,Maxwell Schwartz,Consumer,7757.0,2795.88,72.0,11,1,0.36043315714838214
HM-148604,Harry Marie,Corporate,5940.0,2773.6074,31.0,5,1,0.4669372727272727
KD-164954,Keith Dawkins,Corporate,6684.0,2764.0369,51.0,9,1,0.4135303560742071
VG-218051,Vivek Grady,Corporate,15654.0,2748.1878,67.0,7,1,0.17555818321195862
BE-113351,Bill Eplett,Home Office,7475.0,2742.651,91.0,5,1,0.3669098327759197
DP-31051,Dave Poirier,Corporate,5858.0,2730.4500000000003,23.0,4,1,0.4661061795834756
JB-160002,Joy Bell-,Consumer,9190.0,2721.036,97.0,10,1,0.29608661588683355
JG-151602,James Galang,Consumer,9340.0,2718.726,64.0,5,1,0.29108415417558886
DL-133152,Delfina Latchford,Consumer,11186.0,2715.2625,117.0,7,1,0.2427375737529054
KD-162704,Karen Daniels,Consumer,5806.0,2713.1201,29.0,4,1,0.4672959180158457
AR-105404,Andy Reiter,Consumer,5924.0,2653.5101,21.0,4,1,0.4479254051316678
TB-214004,Tom Boeckenhauer,Consumer,8443.0,2607.3287,35.0,5,1,0.30881543290299657
NH-186101,Nicole Hansen,Corporate,9477.0,2550.3141,64.0,5,1,0.2691056346945236
HD-147851,Harold Dahlen,Home Office,9222.0,2540.67,43.0,5,1,0.2755009759271308
NM-184454,Nathan Mautz,Home Office,5360.0,2474.9883,34.0,6,1,0.4617515485074627
RB-193302,Randy Bradley,Consumer,7356.0,2438.937,71.0,12,1,0.3315575040783034
BS-113654,Bill Shonely,Corporate,9615.0,2438.6438,32.0,4,1,0.25362910036401454
HM-148602,Harry Marie,Corporate,8880.0,2391.1259999999997,97.0,9,1,0.2692709459459459
BV-112452,Benjamin Venier,Corporate,8716.0,2381.877,55.0,8,1,0.27327638825149153
AS-106301,Ann Steele,Home Office,7144.0,2374.9485,58.0,5,1,0.33243959966405373
DO-134351,Denny Ordway,Consumer,5693.0,2312.715,28.0,5,1,0.40623836290180926
BF-110051,Barry Franz,Home Office,14513.0,2293.6929,84.0,9,1,0.15804402260042721
EB-141102,Eugene Barchas,Consumer,6272.0,2272.842,61.0,9,1,0.3623791454081633
HW-149354,Helen Wasserman,Corporate,8233.0,2256.7318999999998,68.0,7,1,0.2741080893963318
SE-201102,Sanjit Engle,Consumer,6167.0,2233.1730000000002,74.0,11,1,0.36211658829252474
MO-178001,Meg O'Connel,Home Office,8516.0,2213.0568,51.0,5,1,0.2598704556129638
Dp-132401,Dean percer,Home Office,9837.0,2201.4,52.0,5,1,0.22378774016468436
AC-104501,Amy Cox,Consumer,6640.0,2181.42,16.0,2,1,0.32852710843373495
MD-78601,Michael Dominguez,Corporate,6855.0,2176.092,34.0,5,1,0.3174459518599563
RB-197953,Ross Baird,Home Office,9385.0,2157.35684,118.0,13,1,0.22987286521044217
SB-201701,Sarah Bern,Consumer,6579.0,2137.56,46.0,2,1,0.324906520747834
BM-116504,Brian Moss,Corporate,6529.0,2128.0564,74.0,7,1,0.3259391024659213
MC-176353,Matthew Clasen,Corporate,10126.0,2117.8759999999997,122.0,13,1,0.20915228125617222
MG-176951,Maureen Gnade,Consumer,6078.0,2106.39,54.0,5,1,0.34655972359328724
BS-116653,Brian Stugart,Consumer,5779.0,2101.032,70.0,7,1,0.3635632462363731
SD-204854,Shirley Daniels,Home Office,4880.0,2062.959,47.0,4,1,0.4227375
AF-108703,Art Ferguson,Consumer,5832.0,2002.028,65.0,9,1,0.3432832647462277
SR-207404,Steven Roelle,Home Office,4273.0,1994.1426,46.0,6,1,0.46668443716358526
JW-52201,Jane Waco,Corporate,6173.0,1991.49,45.0,2,1,0.3226129920622064
BK-112601,Berenike Kampe,Consumer,6236.0,1986.96,25.0,4,1,0.318627325208467
AR-108252,Anthony Rawles,Corporate,7703.0,1982.9099999999999,93.0,14,1,0.2574204855251201
KC-166752,Kimberly Carter,Corporate,7283.0,1966.0439999999999,84.0,6,1,0.2699497459837979
FH-143654,Fred Hopkins,Corporate,4940.0,1958.0766,28.0,5,1,0.39637178137651824
TS-215051,Tony Sayre,Consumer,6944.0,1950.9741,72.0,7,1,0.28095825172811056
JF-151901,Jamie Frazer,Consumer,8243.0,1949.5815,82.0,8,1,0.23651358728618221
VP-217602,Victoria Pisteka,Corporate,5528.0,1937.166,20.0,6,1,0.350428002894356
RB-193601,Raymond Buch,Consumer,6653.0,1933.5,68.0,5,1,0.29062077258379676
DP-131651,David Philippe,Consumer,6236.0,1924.2996,42.0,6,1,0.30857915330339963
NF-183851,Natalie Fritzler,Consumer,6214.0,1922.892,59.0,6,1,0.3094451239137432
RO-197801,Rose O'Brian,Consumer,10147.0,1907.5439999999999,54.0,5,1,0.18799093328077263
RD-99302,Russell D'Ascenzo,Consumer,4339.0,1892.1840000000002,26.0,5,1,0.4360875777828993
BH-117102,Brosina Hoffman,Consumer,6729.0,1875.0300000000002,41.0,6,1,0.2786491306286224
AD-101804,Alan Dominguez,Home Office,5448.0,1871.4171000000001,30.0,5,1,0.34350534140969163
MG-81451,Mike Gockenbach,Consumer,4834.0,1868.94,9.0,1,1,0.38662391394290446
GM-144551,Gary Mitchum,Home Office,5109.0,1862.8680000000002,48.0,6,1,0.36462477980035235
BE-113353,Bill Eplett,Home Office,6187.0,1846.1144,111.0,11,1,0.2983860352351705
CM-118302,Cari MacIntyre,Corporate,11155.0,1844.4885,106.0,9,1,0.16535082922456296
EM-140652,Erin Mull,Consumer,5518.0,1837.332,29.0,2,1,0.33297064153678874
AM-107052,Anne McFarland,Consumer,6062.0,1819.2930000000001,71.0,6,1,0.30011431870669747
TZ-215802,Tracy Zic,Consumer,5783.0,1809.216,49.0,5,1,0.31285076949680096
BE-114102,Bobby Elias,Consumer,7544.0,1805.895,61.0,6,1,0.23938162778366914
GT-147103,Greg Tran,Consumer,4465.0,1802.3051600000001,45.0,4,1,0.40365177155655096
JW-152201,Jane Waco,Corporate,5263.0,1793.0673,48.0,8,1,0.3406930077902337
NC-186251,Noah Childs,Corporate,9237.0,1772.5800000000002,73.0,11,1,0.19189996752192273
CS-121751,Charles Sheldon,Corporate,8275.0,1772.4317999999998,65.0,7,1,0.21419115407854983
JK-160901,Juliana Krohn,Consumer,9749.0,1762.0062,98.0,9,1,0.18073712175607756
BT-116801,Brian Thompson,Consumer,8136.0,1761.771,57.0,7,1,0.21654019174041297
JL-152351,Janet Lee,Consumer,6803.0,1760.58,70.0,3,1,0.2587946494193738
TS-213704,Todd Sumrall,Corporate,6859.0,1748.6520000000003,27.0,4,1,0.2549427030179327
LA-167804,Laura Armstrong,Corporate,6563.0,1736.7987,59.0,7,1,0.26463487734267865
JH-154303,Jennifer Halladay,Consumer,5347.0,1727.08,88.0,11,1,0.3229998129792407
DM-130154,Darrin Martin,Consumer,3819.0,1708.0153999999998,26.0,1,1,0.4472415291961246
KD-163451,Katherine Ducich,Consumer,5397.0,1703.82,52.0,3,1,0.3156976097832129
PF-191201,Peter Fuller,Consumer,8068.0,1701.03,29.0,4,1,0.21083663857213683
MD-173503,Maribeth Dona,Consumer,8502.0,1693.26932,82.0,11,1,0.19916129381322042
GZ-45453,George Zrebassa,Corporate,3481.0,1692.7800000000002,21.0,3,1,0.48629129560471135
HL-150401,Hunter Lopez,Consumer,4735.0,1688.76,20.0,1,1,0.35665469904963043
LT-71101,Liz Thompson,Consumer,7848.0,1687.5,56.0,3,1,0.21502293577981652
